name,imgSrc,categories,dealType,digitalCoupon,isSelected
Post Cereal-All,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/post_cerealall.jpg,Grocery,BOGO,,false
Vlasic Pickles,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/vlasic_pickles.jpg,Grocery,BOGO,,false
Perdue Boneless Skinless Chicken Breasts,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/perdue_boneless_skinless_chicken_breasts.jpg,Meat,BOGO,,false
Hebrew National Kosher Beef Franks,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/hebrew_national_kosher_beef_franks.jpg,Meat,BOGO,,false
King O' the West Orangedew Melon Chunks,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/king_o_the_west_orangedew_melon_chunks.jpg,Produce,BOGO,,false
Hero Gala Apples,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/hero_gala_apples.jpg,Produce,BOGO,,false
Sunny Days Bouquet,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/sunny_days_bouquet.jpg,Floral,BOGO,,false
Organic Mini Cucumbers,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/organic_mini_cucumbers.jpg,Produce,BOGO,,false
Pretzilla Pretzel Bites,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/pretzilla_pretzel_bites.jpg,Deli,BOGO,,false
Blount's Family Kitchen Flatbread Pizza,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/blounts_family_kitchen_flatbread_pizza.jpg,Protein|Deli,BOGO,,false
The Good Crisp Company Potato Crisps,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/the_good_crisp_company_potato_crisps.jpg,Deli,BOGO,,false
Il Villaggio Parmigiano Reggiano Cheese,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/il_villaggio_parmigiano_reggiano_cheese.jpg,Deli,BOGO,,false
Belgioioso Fresh Mozzarella Cheese,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/belgioioso_fresh_mozzarella_cheese.jpg,Protein|Deli,BOGO,,false
Mid's Pizza Sauce,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/mids_pizza_sauce.jpg,Grocery,BOGO,,false
Small Fruit Pies,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/small_fruit_pies.jpg,Bakery,BOGO,,false
