storenumber,cutoverDay
1438,thursday
1439,thursday
1440,thursday
1441,thursday
1442,wednesday
1443,thursday
1444,thursday
1445,thursday
1447,thursday
1448,thursday
1449,thursday
1450,thursday
1451,wednesday
1452,thursday
1453,wednesday
1454,thursday
1455,thursday
1456,thursday
1457,thursday
1458,thursday
1459,thursday
1460,wednesday
1461,wednesday
1462,wednesday
1463,wednesday
1464,wednesday
1465,thursday
1466,wednesday
1467,thursday
1468,thursday
1469,thursday
1470,wednesday
1471,thursday
1472,thursday
1473,wednesday
1474,wednesday
1475,wednesday
1476,wednesday
1477,thursday
1478,wednesday
1479,wednesday
1480,wednesday
1481,wednesday
1482,wednesday
1483,wednesday
1484,wednesday
1485,wednesday
1486,wednesday
1487,thursday
1488,thursday
1489,wednesday
1490,wednesday
1491,thursday
1492,thursday
1493,thursday
1494,thursday
1495,thursday
1496,thursday
1497,thursday
1498,wednesday
1499,thursday
1500,thursday
1501,thursday
1502,thursday
1503,wednesday
1505,thursday
1506,thursday
1507,thursday
1508,wednesday
1509,wednesday
1510,wednesday
1511,wednesday
1512,wednesday
1513,thursday
1514,wednesday
1515,wednesday
1516,wednesday
1517,thursday
1518,wednesday
1519,wednesday
1520,wednesday
1521,wednesday
1522,wednesday
1523,thursday
1524,wednesday
1525,wednesday
1526,thursday
1527,thursday
1528,thursday
1529,wednesday
1530,thursday
1531,thursday
1532,wednesday
1533,wednesday
1534,thursday
1535,thursday
1536,thursday
1537,wednesday
1538,thursday
1539,wednesday
1540,wednesday
1541,thursday
1542,wednesday
1543,wednesday
1544,wednesday
1545,wednesday
1546,wednesday
1547,thursday
1548,wednesday
1549,thursday
1550,wednesday
1551,wednesday
1552,wednesday
1553,thursday
1554,thursday
1555,wednesday
1556,wednesday
1557,thursday
1558,thursday
1559,thursday
1560,thursday
1561,thursday
1562,thursday
1563,thursday
1564,thursday
1566,wednesday
1567,thursday
1568,wednesday
1569,wednesday
1570,thursday
1571,thursday
1572,wednesday
1573,thursday
1574,wednesday
1575,wednesday
1576,thursday
1578,thursday
1579,thursday
1580,wednesday
1581,thursday
1582,wednesday
1583,wednesday
1584,wednesday
1585,thursday
1586,wednesday
1587,wednesday
1588,wednesday
1589,wednesday
1590,wednesday
1591,wednesday
1592,wednesday
1593,wednesday
1594,wednesday
1595,wednesday
1596,wednesday
1597,thursday
1598,thursday
1599,wednesday
1600,thursday
1601,thursday
1602,wednesday
1603,wednesday
1604,wednesday
1606,thursday
1607,thursday
1608,wednesday
1609,wednesday
1610,thursday
1611,thursday
1612,wednesday
1613,wednesday
1614,thursday
1615,wednesday
1616,thursday
1617,thursday
1618,thursday
1619,wednesday
1621,wednesday
1622,wednesday
1623,wednesday
1625,thursday
1626,wednesday
1627,wednesday
1628,thursday
1629,wednesday
1630,thursday
1631,wednesday
1632,wednesday
1633,wednesday
1634,wednesday
1635,wednesday
1636,wednesday
1637,wednesday
1638,wednesday
1639,thursday
1640,wednesday
1641,wednesday
1642,wednesday
1643,wednesday
1644,thursday
1645,wednesday
1646,wednesday
1647,wednesday
1648,wednesday
1649,thursday
1650,wednesday
1651,thursday
1652,wednesday
1653,thursday
1655,thursday
1656,thursday
1657,thursday
1658,wednesday
1659,thursday
1660,wednesday
1661,thursday
1662,thursday
1664,thursday
1665,wednesday
1666,thursday
1667,thursday
1668,thursday
1669,thursday
1670,thursday
1671,wednesday
1672,wednesday
1673,wednesday
1674,thursday
1675,wednesday
1676,wednesday
1677,wednesday
1678,wednesday
1679,wednesday
1680,wednesday
1681,thursday
1682,thursday
1683,thursday
1684,thursday
1685,wednesday
1686,thursday
1687,wednesday
1688,thursday
1690,wednesday
1691,wednesday
1692,wednesday
1693,thursday
1694,wednesday
1695,thursday
1696,thursday
1698,thursday
1699,thursday
1700,wednesday
1701,thursday
1702,thursday
1703,wednesday
1704,wednesday
1705,thursday
1706,wednesday
1707,thursday
